,county,account_ownership,mobile_money_usage,savings_behaviour,borrowing_behaviour,credit_access,digital_payment_adoption,remittances_received,monthly_household_income,social_protection_coverage,mobile_phone_ownership,internet_access,distance_to_nearest_bank,urban_population,land_ownership,unemployment_rate,informal_employment
10,11,82.23684210526315,81.9078947368421,72.03947368421053,67.43421052631578,3.618421052631579,15.460526315789474,36.18421052631579,14081.34677419355,9.539473684210527,89.47368421052632,45.39473684210527,2.526315789473684,50.32894736842105,4.934210526315789,45.48611111111111,81.52866242038218
11,12,82.26059654631082,80.06279434850863,63.108320251177396,84.61538461538461,1.2558869701726845,16.012558869701728,22.135007849293565,8235.278745644599,8.948194662480377,83.6734693877551,44.5839874411303,1.5243328100470959,26.21664050235479,3.453689167974882,15.289982425307558,91.70124481327801
12,13,82.10023866348448,79.71360381861575,68.97374701670644,80.90692124105013,2.863961813842482,13.842482100238662,18.85441527446301,9531.022443890275,9.785202863961814,83.05489260143199,38.424821002386636,1.639618138424821,22.911694510739856,6.921241050119331,9.770114942528735,90.12738853503186
13,14,87.81512605042016,86.97478991596638,75.84033613445378,67.43697478991596,5.2521008403361344,20.798319327731093,28.15126050420168,13810.217391304348,20.168067226890756,91.17647058823529,51.05042016806722,2.023109243697479,27.521008403361346,35.50420168067227,5.378973105134474,84.23772609819122
14,15,79.44572748267899,76.44341801385681,51.96304849884527,52.88683602771363,3.0023094688221708,12.009237875288683,41.339491916859124,8449.143576826196,15.242494226327944,76.905311778291,33.94919168591224,2.0531177829099305,19.861431870669747,28.868360277136258,27.445652173913043,81.27340823970037
15,16,83.73015873015873,82.53968253968253,69.04761904761905,58.53174603174603,4.166666666666666,14.880952380952381,34.523809523809526,13708.867521367521,15.079365079365079,84.72222222222221,43.452380952380956,1.5952380952380953,37.10317460317461,28.174603174603174,19.630484988452658,79.02298850574712
16,17,81.4977973568282,80.39647577092511,61.23348017621145,59.25110132158591,3.303964757709251,13.656387665198238,56.167400881057276,9758.187134502923,11.45374449339207,87.88546255506607,44.052863436123346,2.2312775330396475,25.55066079295154,20.704845814977972,21.464646464646464,92.92604501607717
17,18,84.57943925233646,82.94392523364486,67.28971962616822,68.92523364485982,4.906542056074766,14.252336448598129,39.018691588785046,10312.376237623763,18.69158878504673,91.58878504672897,50.23364485981309,1.4766355140186915,27.33644859813084,8.644859813084112,12.5,90.99378881987577
18,19,90.15317286652079,89.05908096280088,67.39606126914661,64.11378555798687,4.3763676148796495,19.25601750547046,33.91684901531728,9803.485576923076,14.87964989059081,95.18599562363238,55.36105032822757,1.3150984682713347,29.978118161925604,12.035010940919037,11.970074812967582,84.98583569405099
19,20,89.37007874015748,86.22047244094489,73.22834645669292,56.496062992125985,4.330708661417323,19.68503937007874,33.85826771653544,11188.168724279836,19.094488188976378,89.56692913385827,50.196850393700785,1.9429133858267718,34.05511811023622,26.574803149606304,6.864988558352403,89.1891891891892
20,21,80.7017543859649,77.58284600389864,59.25925925925925,68.61598440545808,5.263157894736842,11.890838206627679,32.748538011695906,7748.128898128898,11.695906432748536,87.5243664717349,41.32553606237816,1.9044834307992202,26.900584795321635,5.653021442495127,13.701923076923078,87.46518105849582
21,22,87.66355140186916,85.79439252336448,78.31775700934578,75.14018691588785,6.915887850467289,25.04672897196262,37.00934579439252,13905.9,20.0,90.09345794392523,62.99065420560748,2.183177570093458,55.32710280373831,15.327102803738319,14.96881496881497,78.72860635696821
22,23,65.0,64.5,50.0,45.75,3.5000000000000004,7.75,32.0,4625.570652173913,7.000000000000001,64.0,17.25,21.615,35.75,5.75,19.263456090651555,96.84210526315789
23,24,44.11764705882353,41.97860962566845,60.6951871657754,57.21925133689839,2.406417112299465,5.614973262032086,23.52941176470588,9620.880681818182,5.080213903743315,52.406417112299465,17.379679144385026,6.9866310160427805,18.181818181818183,24.598930481283425,11.730205278592376,99.00332225913621
24,25,75.55555555555556,74.60317460317461,71.74603174603175,65.07936507936508,2.5396825396825395,10.158730158730158,17.77777777777778,10138.926174496644,11.11111111111111,78.41269841269842,30.476190476190478,4.844444444444444,28.57142857142857,15.555555555555555,16.040955631399317,89.83739837398373
25,26,74.07407407407408,74.07407407407408,47.53086419753087,58.0246913580247,4.938271604938271,20.37037037037037,20.37037037037037,10483.458646616542,15.432098765432098,76.5432098765432,51.23456790123457,1.2160493827160495,33.95061728395062,25.308641975308642,28.947368421052634,86.11111111111111
26,27,81.66969147005445,80.76225045372051,73.13974591651544,62.613430127041745,3.4482758620689653,20.508166969147005,41.01633393829401,10489.181117533719,13.611615245009073,87.84029038112523,61.524500907441016,1.368421052631579,50.99818511796733,17.96733212341198,18.89763779527559,85.43689320388349
27,28,82.15962441314554,81.92488262910797,77.93427230046949,72.53521126760563,8.215962441314554,18.30985915492958,24.647887323943664,14255.25641025641,17.136150234741784,83.09859154929578,46.244131455399064,1.7629107981220657,21.12676056338028,20.657276995305164,11.557788944723619,92.61363636363636
28,29,82.91139240506328,80.59071729957806,74.0506329113924,72.78481012658227,7.383966244725738,21.940928270042196,32.70042194092827,9321.595744680852,15.18987341772152,83.96624472573839,47.89029535864979,2.9240506329113924,20.042194092827003,25.738396624472575,11.86046511627907,94.72295514511873
29,30,64.30446194225722,61.15485564304461,70.34120734908137,65.61679790026247,1.837270341207349,8.923884514435695,25.72178477690289,8352.168021680216,10.761154855643044,79.00262467191601,38.320209973753286,5.551181102362205,25.72178477690289,22.83464566929134,9.763313609467456,93.77049180327869
30,31,85.6763925729443,84.08488063660478,68.16976127320955,59.94694960212201,3.978779840848806,13.527851458885943,19.628647214854112,11326.898550724638,13.793103448275861,89.38992042440319,49.86737400530504,2.740053050397878,35.54376657824933,27.320954907161806,16.86390532544379,87.18861209964413
31,32,81.78633975481611,80.38528896672504,62.34676007005254,55.34150612959719,5.42907180385289,16.637478108581437,28.7215411558669,11418.103092783505,15.761821366024517,85.11383537653239,45.884413309982484,2.180385288966725,47.285464098073554,26.09457092819615,17.68172888015717,88.3054892601432
32,33,68.40796019900498,66.91542288557214,54.47761194029851,55.72139303482587,2.9850746268656714,9.701492537313433,22.885572139303484,12252.962962962964,7.213930348258707,78.1094527363184,35.82089552238806,5.592039800995025,21.890547263681594,31.592039800995025,20.32085561497326,89.59731543624162
33,34,80.04866180048663,79.31873479318735,86.13138686131386,61.80048661800487,6.082725060827251,14.841849148418493,28.467153284671532,13616.620111731843,10.218978102189782,88.07785888077859,53.284671532846716,2.632603406326034,56.20437956204379,15.085158150851582,22.727272727272727,84.640522875817
34,35,75.3880266075388,74.05764966740577,63.63636363636363,61.19733924611973,5.099778270509978,12.638580931263856,21.729490022172946,9921.248175182482,18.403547671840354,82.039911308204,36.58536585365854,3.0532150776053215,22.838137472283815,27.716186252771617,15.96009975062344,83.38278931750742
35,36,78.11320754716982,77.16981132075472,74.15094339622641,61.698113207547166,7.547169811320755,19.622641509433965,26.037735849056602,10286.51252408478,20.37735849056604,80.0,41.509433962264154,1.7943396226415094,17.169811320754715,21.32075471698113,18.367346938775512,80.75
36,37,71.83333333333334,69.66666666666667,74.5,64.33333333333333,2.5,11.166666666666666,46.166666666666664,7817.308243727599,13.0,75.5,46.166666666666664,1.27,24.666666666666668,28.833333333333332,13.370998116760829,89.13043478260869
37,38,74.4874715261959,72.66514806378133,68.56492027334852,70.15945330296127,4.555808656036446,9.339407744874716,43.28018223234624,7200.387654320988,12.756264236902052,76.30979498861048,36.21867881548975,1.1503416856492028,24.145785876993166,19.81776765375854,14.127423822714682,89.6774193548387
38,39,76.07003891050583,72.17898832684824,72.17898832684824,70.03891050583657,4.669260700389105,13.229571984435799,33.65758754863813,8243.333333333334,12.062256809338521,79.57198443579766,39.494163424124515,13.054474708171206,26.26459143968872,5.836575875486381,19.144144144144143,90.5292479108635
39,40,70.70707070707071,69.1919191919192,69.6969696969697,61.86868686868687,2.7777777777777777,7.828282828282829,32.323232323232325,7222.490706319702,7.575757575757576,76.51515151515152,40.65656565656566,11.909090909090908,25.252525252525253,4.545454545454546,22.318840579710145,94.40298507462687
40,41,72.5,69.77272727272728,67.5,63.63636363636363,2.0454545454545454,8.409090909090908,37.72727272727273,5730.134770889488,10.0,77.04545454545455,37.04545454545455,6.872727272727273,20.681818181818183,10.227272727272728,23.88888888888889,94.8905109489051
41,42,82.50950570342205,80.98859315589354,76.61596958174906,55.70342205323195,3.2319391634980987,13.307984790874524,29.277566539923956,7268.927125506073,11.787072243346007,82.31939163498099,43.91634980988593,1.2604562737642586,42.77566539923954,2.4714828897338403,25.21551724137931,91.06628242074927
42,43,77.14285714285715,75.71428571428571,67.3469387755102,60.40816326530612,3.6734693877551026,7.755102040816326,22.244897959183675,6808.967889908256,6.122448979591836,81.22448979591836,32.04081632653061,1.5714285714285714,22.857142857142858,9.183673469387756,18.932038834951456,92.81437125748504
43,44,70.4331450094162,69.49152542372882,54.23728813559322,62.71186440677966,5.4613935969868175,11.487758945386064,13.74764595103578,11569.246861924687,12.617702448210924,78.15442561205273,40.11299435028249,3.5216572504708097,29.75517890772128,12.24105461393597,19.198312236286917,85.90078328981723
44,45,84.09542743538768,83.1013916500994,62.22664015904572,67.39562624254472,4.970178926441352,12.524850894632205,14.314115308151093,9852.251184834124,11.72962226640159,86.67992047713717,43.141153081510936,4.391650099403578,23.856858846918488,5.964214711729622,14.754098360655737,85.43956043956044
45,46,83.22981366459628,82.6086956521739,49.4824016563147,52.587991718426494,4.3478260869565215,14.906832298136646,23.60248447204969,6491.932059447983,9.937888198757763,85.71428571428571,32.91925465838509,1.5693581780538302,22.56728778467909,14.906832298136646,15.914489311163896,89.54802259887006
46,47,92.53246753246754,92.04545454545455,87.17532467532467,64.44805194805194,5.844155844155844,28.57142857142857,35.064935064935064,19477.935606060608,20.12987012987013,96.75324675324676,81.16883116883116,1.1639610389610389,100.0,11.363636363636363,24.496644295302016,71.77777777777777
