,county,account_ownership,mobile_money_usage,savings_behaviour,borrowing_behaviour,credit_access,digital_payment_adoption,remittances_received,monthly_household_income,social_protection_coverage,mobile_phone_ownership,internet_access,distance_to_nearest_bank,urban_population,land_ownership,account_ownership_excl,mobile_money_usage_excl,mobile_phone_excl,unemployment_rate,informal_employment
0,1,81.41176470588235,80.23529411764706,52.470588235294116,61.1764705882353,3.058823529411765,13.411764705882353,35.529411764705884,11626.517647058823,9.88235294117647,90.8235294117647,67.05882352941175,1.2376470588235293,100.0,13.411764705882353,18.58823529411765,19.76470588235294,9.176470588235297,18.689320388349515,86.86567164179104
1,2,82.03753351206434,80.9651474530831,68.36461126005362,57.10455764075068,4.021447721179625,12.064343163538874,35.120643431635386,9072.654155495979,11.796246648793565,83.91420911528151,45.30831099195711,2.5630026809651474,30.831099195710454,16.890080428954423,17.962466487935657,19.03485254691689,16.0857908847185,18.58407079646018,89.4927536231884
2,3,73.58490566037736,72.83018867924528,55.471698113207545,57.73584905660377,3.018867924528302,7.735849056603773,43.20754716981132,7682.641509433963,9.245283018867925,81.50943396226415,43.58490566037736,1.728301886792453,42.64150943396226,9.245283018867925,26.415094339622648,27.16981132075472,18.490566037735846,27.348643006263046,90.22988505747126
3,4,70.27027027027027,69.66966966966966,18.91891891891892,33.933933933933936,2.1021021021021022,3.903903903903904,57.35735735735735,5124.024024024024,4.504504504504505,74.17417417417418,22.52252252252252,2.978978978978979,36.63663663663664,7.5075075075075075,29.729729729729726,30.330330330330334,25.82582582582582,56.35179153094463,83.5820895522388
4,5,81.78294573643412,81.78294573643412,26.744186046511626,29.069767441860467,2.3255813953488373,10.077519379844961,47.286821705426355,6523.2558139534885,5.426356589147287,82.94573643410853,44.96124031007752,1.7868217054263567,36.434108527131784,14.728682170542637,18.217054263565892,18.217054263565892,17.05426356589147,42.25941422594142,86.23188405797102
5,6,86.76844783715013,86.25954198473282,55.216284987277355,64.12213740458014,4.071246819338422,15.012722646310433,46.81933842239186,7938.422391857506,17.8117048346056,91.85750636132316,53.68956743002544,2.340966921119593,38.93129770992366,23.155216284987276,13.23155216284987,13.740458015267176,8.14249363867684,16.477272727272727,87.07482993197279
6,7,81.69934640522875,81.37254901960785,19.28104575163399,43.13725490196079,0.9803921568627451,5.228758169934641,52.28758169934641,12157.924836601307,6.862745098039216,85.29411764705883,40.52287581699346,2.5620915032679736,49.34640522875817,7.8431372549019605,18.300653594771244,18.627450980392158,14.70588235294118,61.702127659574465,87.03703703703704
7,8,78.94736842105263,78.94736842105263,22.248803827751196,39.473684210526315,1.9138755980861244,6.4593301435406705,42.58373205741627,11241.507177033493,5.023923444976076,83.97129186602871,22.48803827751196,4.401913875598086,37.55980861244019,6.220095693779904,21.052631578947366,21.052631578947366,16.028708133971293,68.12339331619538,89.51612903225806
8,9,81.7948717948718,81.7948717948718,32.05128205128205,47.43589743589743,1.5384615384615385,6.41025641025641,34.35897435897436,9022.820512820514,3.076923076923077,86.15384615384616,35.38461538461539,2.3974358974358974,42.30769230769231,2.8205128205128207,18.205128205128208,18.205128205128208,13.846153846153841,74.07407407407408,93.87755102040816
9,10,78.04878048780488,77.77777777777779,59.34959349593496,45.52845528455284,0.5420054200542005,5.691056910569105,31.978319783197833,8564.227642276423,11.653116531165312,82.65582655826557,27.64227642276423,2.7181571815718155,37.39837398373984,13.008130081300814,21.95121951219512,22.22222222222222,17.344173441734423,28.96341463414634,92.7038626609442
10,11,82.23684210526315,81.9078947368421,72.03947368421053,67.43421052631578,3.618421052631579,15.460526315789474,36.18421052631579,11487.41447368421,9.539473684210527,89.47368421052632,45.39473684210527,2.526315789473684,50.32894736842105,4.934210526315789,17.763157894736846,18.092105263157897,10.526315789473683,45.48611111111111,81.52866242038218
11,12,82.26059654631082,80.06279434850863,63.108320251177396,84.61538461538461,1.2558869701726845,16.012558869701728,22.135007849293565,7420.800627943485,8.948194662480377,83.6734693877551,44.5839874411303,1.5243328100470959,26.21664050235479,3.453689167974882,17.739403453689174,19.937205651491364,16.326530612244895,15.289982425307558,91.70124481327801
12,13,82.10023866348448,79.71360381861575,68.97374701670644,80.90692124105013,2.863961813842482,13.842482100238662,18.85441527446301,9121.575178997613,9.785202863961814,83.05489260143199,38.424821002386636,1.639618138424821,22.911694510739856,6.921241050119331,17.899761336515517,20.286396181384248,16.945107398568016,9.770114942528735,90.12738853503186
13,14,87.81512605042016,86.97478991596638,75.84033613445378,67.43697478991596,5.2521008403361344,20.798319327731093,28.15126050420168,13346.008403361344,20.168067226890756,91.17647058823529,51.05042016806722,2.023109243697479,27.521008403361346,35.50420168067227,12.184873949579833,13.025210084033612,8.823529411764708,5.378973105134474,84.23772609819122
14,15,79.44572748267899,76.44341801385681,51.96304849884527,52.88683602771363,3.0023094688221708,12.009237875288683,41.339491916859124,7746.674364896074,15.242494226327944,76.905311778291,33.94919168591224,2.0531177829099305,19.861431870669747,28.868360277136258,20.554272517321014,23.556581986143186,23.094688221709003,27.445652173913043,81.27340823970037
15,16,83.73015873015873,82.53968253968253,69.04761904761905,58.53174603174603,4.166666666666666,14.880952380952381,34.523809523809526,12729.662698412698,15.079365079365079,84.72222222222221,43.452380952380956,1.5952380952380953,37.10317460317461,28.174603174603174,16.26984126984127,17.460317460317466,15.277777777777779,19.630484988452658,79.02298850574712
16,17,81.4977973568282,80.39647577092511,61.23348017621145,59.25110132158591,3.303964757709251,13.656387665198238,56.167400881057276,7350.8810572687225,11.45374449339207,87.88546255506607,44.052863436123346,2.2312775330396475,25.55066079295154,20.704845814977972,18.502202643171806,19.603524229074885,12.114537444933926,21.464646464646464,92.92604501607717
17,18,84.57943925233646,82.94392523364486,67.28971962616822,68.92523364485982,4.906542056074766,14.252336448598129,39.018691588785046,9734.11214953271,18.69158878504673,91.58878504672897,50.23364485981309,1.4766355140186915,27.33644859813084,8.644859813084112,15.420560747663547,17.056074766355145,8.41121495327103,12.5,90.99378881987577
18,19,90.15317286652079,89.05908096280088,67.39606126914661,64.11378555798687,4.3763676148796495,19.25601750547046,33.91684901531728,8923.960612691466,14.87964989059081,95.18599562363238,55.36105032822757,1.3150984682713347,29.978118161925604,12.035010940919037,9.846827133479207,10.940919037199127,4.81400437636762,11.970074812967582,84.98583569405099
19,20,89.37007874015748,86.22047244094489,73.22834645669292,56.496062992125985,4.330708661417323,19.68503937007874,33.85826771653544,10703.641732283464,19.094488188976378,89.56692913385827,50.196850393700785,1.9429133858267718,34.05511811023622,26.574803149606304,10.629921259842522,13.779527559055115,10.433070866141737,6.864988558352403,89.1891891891892
20,21,80.7017543859649,77.58284600389864,59.25925925925925,68.61598440545808,5.263157894736842,11.890838206627679,32.748538011695906,7264.814814814815,11.695906432748536,87.5243664717349,41.32553606237816,1.9044834307992202,26.900584795321635,5.653021442495127,19.298245614035093,22.41715399610137,12.475633528265107,13.701923076923078,87.46518105849582
21,22,87.66355140186916,85.79439252336448,78.31775700934578,75.14018691588785,6.915887850467289,25.04672897196262,37.00934579439252,12996.168224299065,20.0,90.09345794392523,62.99065420560748,2.183177570093458,55.32710280373831,15.327102803738319,12.336448598130845,14.205607476635517,9.906542056074763,14.96881496881497,78.72860635696821
22,23,65.0,64.5,50.0,45.75,3.5000000000000004,7.75,32.0,4255.525,7.000000000000001,64.0,17.25,21.615,35.75,5.75,35.0,35.5,36.0,19.263456090651555,96.84210526315789
23,24,44.11764705882353,41.97860962566845,60.6951871657754,57.21925133689839,2.406417112299465,5.614973262032086,23.52941176470588,9054.946524064171,5.080213903743315,52.406417112299465,17.379679144385026,6.9866310160427805,18.181818181818183,24.598930481283425,55.88235294117647,58.02139037433155,47.593582887700535,11.730205278592376,99.00332225913621
